排名,数据主体内容,出现次数,完整数据
1,102.130.48.155:2053,2,102.130.48.155:2053#NG [0M]
2,103.15.91.174:443,2,103.15.91.174:443#VN [0M]
3,103.224.84.70:443,2,103.224.84.70:443#TH [0M]
4,109.66.88.118:8443,2,109.66.88.118:8443#CN [0M]
5,114.32.9.249:443,2,114.32.9.249:443#TW [3M]
6,120.26.92.186:8443,2,120.26.92.186:8443#CN [3M]
7,130.94.58.215:8443,2,130.94.58.215:8443#SA [3M]
8,131.255.6.88:443,2,131.255.6.88:443#AR [0M]
9,138.16.178.169:443,2,138.16.178.169:443#IS [0M]
10,139.84.244.9:443,2,139.84.244.9:443#ZA [0M]
11,139.99.134.170:443,2,139.99.134.170:443#AU [0M]
12,139.99.155.180:443,2,139.99.155.180:443#AU [0M]
13,141.105.130.102:443,2,141.105.130.102:443#UA [3M]
14,141.227.129.211:2053,2,141.227.129.211:2053#ES [0M]
15,141.227.137.177:2053,2,141.227.137.177:2053#BE [0M]
16,141.227.186.38:2053,2,141.227.186.38:2053#BE [0M]
17,146.235.59.153:8443,2,146.235.59.153:8443#BR [0M]
18,147.139.189.225:443,2,147.139.189.225:443#ID [0M]
19,147.78.0.186:8443,2,147.78.0.186:8443#AE [0M]
20,151.241.215.143:8443,2,151.241.215.143:8443#IT [8M]
21,156.38.157.171:2053,2,156.38.157.171:2053#ZA [0M]
22,156.38.157.171:8443,2,156.38.157.171:8443#ZA [0M]
23,157.22.128.7:443,2,157.22.128.7:443#UZ [4M]
24,157.85.105.126:443,2,157.85.105.126:443#TH [5M]
25,162.159.237.174,2,162.159.237.174 #电信-SJC
26,162.159.237.32,2,162.159.237.32 #电信-SJC
27,162.159.60.59,2,162.159.60.59 #CT [Score:355]
28,168.107.0.210:443,2,168.107.0.210:443#KR [高速 by Jz 14M]
29,170.64.232.210:443,2,170.64.232.210:443#AU [0M]
30,170.64.237.192:443,2,170.64.237.192:443#AU [0M]
31,172.64.147.110,2,172.64.147.110 #CT [Score:327]
32,172.98.207.58:443,2,172.98.207.58:443#CA [0M]
33,173.242.63.235:8443,2,173.242.63.235:8443#UA [5M]
34,185.105.108.92:8443,2,185.105.108.92:8443#RS [6M]
35,185.125.171.128:8443,2,185.125.171.128:8443#NO [0M]
36,185.179.82.201:443,2,185.179.82.201:443#BY [0M]
37,185.179.82.246:443,2,185.179.82.246:443#BY [0M]
38,185.203.116.131:443,2,185.203.116.131:443#BG [0M]
39,185.216.68.218:8443,2,185.216.68.218:8443#MD [5M]
40,185.235.138.60:2053,2,185.235.138.60:2053#BE [6M]
41,185.253.75.119:443,2,185.253.75.119:443#IL [4M]
42,185.48.250.138:2096,2,185.48.250.138:2096#RS [0M]
43,185.48.250.138:443,2,185.48.250.138:443#RS [0M]
44,185.48.251.100:443,2,185.48.251.100:443#RS [3M]
45,185.86.77.181:8443,2,185.86.77.181:8443#UA [7M]
46,188.240.213.98:2053,2,188.240.213.98:2053#KG [0M]
47,188.240.213.98:8443,2,188.240.213.98:8443#KG [0M]
48,192.71.249.186:2053,2,192.71.249.186:2053#BE [6M]
49,192.71.27.237:443,2,192.71.27.237:443#IL [3M]
50,193.142.58.147:2087,2,193.142.58.147:2087#RO [6M]
51,193.169.228.116:443,2,193.169.228.116:443#IL [3M]
52,193.181.211.119:8443,2,193.181.211.119:8443#DK [6M]
53,194.180.191.123:443,2,194.180.191.123:443#MD [0M]
54,194.247.182.120:8443,2,194.247.182.120:8443#IS [4M]
55,194.32.107.150:443,2,194.32.107.150:443#NO [0M]
56,194.55.164.118:443,2,194.55.164.118:443#CY [3M]
57,194.55.164.154:8443,2,194.55.164.154:8443#CY [0M]
58,194.55.166.65:2087,2,194.55.166.65:2087#CY [5M]
59,194.55.166.65:443,2,194.55.166.65:443#CY [4M]
60,194.71.227.213:443,2,194.71.227.213:443#BE [0M]
61,195.133.18.146:443,2,195.133.18.146:443#RS [4M]
62,195.133.53.166:8443,2,195.133.53.166:8443#RU [0M]
63,195.133.92.20:443,2,195.133.92.20:443#PT [0M]
64,195.162.68.79:443,2,195.162.68.79:443#IS [4M]
65,196.197.21.2:8443,2,196.197.21.2:8443#IE [8M]
66,2.56.206.113:443,2,2.56.206.113:443#AM [5M]
67,2.56.207.67:443,2,2.56.207.67:443#AM [8M]
68,20.174.15.226:443,2,20.174.15.226:443#AE [3M]
69,20.219.46.208:8443,2,20.219.46.208:8443#IN [0M]
70,20.235.105.146:443,2,20.235.105.146:443#IN [3M]
71,202.155.95.132:443,2,202.155.95.132:443#ID [4M]
72,202.184.53.82:8443,2,202.184.53.82:8443#MY [0M]
73,206.53.48.205:443,2,206.53.48.205:443#GE [5M]
74,209.38.82.114:443,2,209.38.82.114:443#AU [0M]
75,212.60.4.134:443,2,212.60.4.134:443#BY [3M]
76,213.183.55.153:8443,2,213.183.55.153:8443#LT [0M]
77,213.255.209.61:8443,2,213.255.209.61:8443#CA [0M]
78,216.173.67.119:443,2,216.173.67.119:443#MY [3M]
79,216.173.67.159:443,2,216.173.67.159:443#MY [5M]
80,216.238.78.167:443,2,216.238.78.167:443#MX [4M]
81,216.238.79.83:8443,2,216.238.79.83:8443#MX [6M]
82,216.238.80.148:8443,2,216.238.80.148:8443#MX [6M]
83,216.238.86.91:443,2,216.238.86.91:443#MX [6M]
84,23.146.248.149:443,2,23.146.248.149:443#TW [0M]
85,24.109.36.190:8443,2,24.109.36.190:8443#CA [0M]
86,3.110.31.232:443,2,3.110.31.232:443#IN [6M]
87,38.180.225.247:2053,2,38.180.225.247:2053#HU [5M]
88,38.180.78.255:443,2,38.180.78.255:443#BR [3M]
89,38.180.79.9:443,2,38.180.79.9:443#BR [4M]
90,38.54.29.210:2053,2,38.54.29.210:2053#GR [0M]
91,38.54.4.209:443,2,38.54.4.209:443#KH [4M]
92,38.54.59.70:443,2,38.54.59.70:443#EG [0M]
93,43.133.110.81:443,2,43.133.110.81:443#TH [0M]
94,43.160.203.174:443,2,43.160.203.174:443#SG [高速 by Jz 13M]
95,43.173.1.153:8443,2,43.173.1.153:8443#ID [0M]
96,43.174.192.1:443,2,43.174.192.1:443#BR [6M]
97,43.174.193.1:443,2,43.174.193.1:443#ID [8M]
98,43.174.195.1:443,2,43.174.195.1:443#AR [4M]
99,45.11.181.161:443,2,45.11.181.161:443#RO [0M]
100,45.136.199.148:443,2,45.136.199.148:443#RO [7M]
101,45.150.131.246:443,2,45.150.131.246:443#TH [0M]
102,45.202.247.198:443,2,45.202.247.198:443#MO [7M]
103,45.202.247.198:8443,2,45.202.247.198:8443#MO [6M]
104,5.181.2.41:443,2,5.181.2.41:443#HR [0M]
105,5.181.2.41:8443,2,5.181.2.41:8443#HR [0M]
106,5.35.103.185:8443,2,5.35.103.185:8443#SK [0M]
107,54.194.24.172:443,2,54.194.24.172:443#IE [4M]
108,54.229.164.147:2053,2,54.229.164.147:2053#IE [0M]
109,54.229.164.147:8443,2,54.229.164.147:8443#IE [0M]
110,57.131.32.25:2053,2,57.131.32.25:2053#IT [0M]
111,62.182.193.108:2087,2,62.182.193.108:2087#SE [7M]
112,62.182.193.220:443,2,62.182.193.220:443#SE [0M]
113,63.32.194.15:2053,2,63.32.194.15:2053#IE [5M]
114,63.32.194.15:8443,2,63.32.194.15:8443#IE [5M]
115,64.176.10.195:443,2,64.176.10.195:443#CL [3M]
116,64.176.12.48:443,2,64.176.12.48:443#CL [3M]
117,64.176.15.110:2053,2,64.176.15.110:2053#CL [4M]
118,64.176.4.154:8443,2,64.176.4.154:8443#CL [4M]
119,64.176.9.246:443,2,64.176.9.246:443#CL [4M]
120,65.2.215.47:443,2,65.2.215.47:443#IN [0M]
121,78.153.131.199:8443,2,78.153.131.199:8443#LT [0M]
122,8.134.218.35:443,2,8.134.218.35:443#DE [8M]
123,80.178.58.56:443,2,80.178.58.56:443#IL [0M]
124,81.29.149.219:2053,2,81.29.149.219:2053#NO [5M]
125,81.29.149.219:8443,2,81.29.149.219:8443#NO [4M]
126,84.208.211.208:8443,2,84.208.211.208:8443#NO [0M]
127,84.235.245.65:2096,2,84.235.245.65:2096#AE [4M]
128,85.90.196.11:443,2,85.90.196.11:443#RO [0M]
129,89.127.196.117:443,2,89.127.196.117:443#CH [6M]
130,89.185.82.188:443,2,89.185.82.188:443#MK [0M]
131,89.46.42.141:2053,2,89.46.42.141:2053#SK [6M]
132,89.46.42.141:8443,2,89.46.42.141:8443#SK [6M]
133,89.46.42.92:2053,2,89.46.42.92:2053#SK [4M]
134,89.46.42.92:8443,2,89.46.42.92:8443#SK [5M]
135,91.149.167.147:8443,2,91.149.167.147:8443#BY [0M]
136,91.192.102.55:443,2,91.192.102.55:443#CH [3M]
137,91.218.212.223:443,2,91.218.212.223:443#UA [0M]
138,91.229.239.172:443,2,91.229.239.172:443#MD [0M]
139,91.231.182.162:8443,2,91.231.182.162:8443#UA [0M]
140,91.238.105.102:443,2,91.238.105.102:443#UA [5M]
141,91.239.6.40:443,2,91.239.6.40:443#AL [6M]
142,91.239.6.51:8443,2,91.239.6.51:8443#AL [0M]
143,91.242.163.179:2053,2,91.242.163.179:2053#SK [0M]
144,91.242.163.179:8443,2,91.242.163.179:8443#SK [0M]
145,91.250.248.223:443,2,91.250.248.223:443#GR [0M]
146,92.113.146.87:443,2,92.113.146.87:443#DK [4M]
147,94.103.188.145:443,2,94.103.188.145:443#MD [0M]
148,94.131.16.65:443,2,94.131.16.65:443#GR [0M]
149,94.156.189.144:8443,2,94.156.189.144:8443#BG [5M]
150,94.43.238.112:2053,2,94.43.238.112:2053#GE [5M]
151,94.43.238.112:2083,2,94.43.238.112:2083#GE [5M]
152,94.43.238.112:2087,2,94.43.238.112:2087#GE [5M]
153,95.130.84.36:2053,2,95.130.84.36:2053#BY [0M]
154,95.174.68.155:2083,2,95.174.68.155:2083#AE [3M]
155,101.108.49.121:443,1,101.108.49.121:443#TH [4M]
156,103.136.146.73:443,1,103.136.146.73:443#AU [10M]
157,103.167.234.26:443,1,103.167.234.26:443#AL [0M]
158,103.169.206.131:443,1,103.169.206.131:443#ID [0M]
159,103.186.64.182:443,1,103.186.64.182:443#VN [5M]
160,103.197.185.178:443,1,103.197.185.178:443#VN [0M]
161,103.242.133.57:443,1,103.242.133.57:443#US [9M]
162,103.63.30.163:443,1,103.63.30.163:443#CH [8M]
163,103.70.115.106:8443,1,103.70.115.106:8443#VN [5M]
164,104.16.105.166,1,104.16.105.166 #多线-查询
165,104.16.105.166:443,1,104.16.105.166:443#US-914f310
166,104.16.145.238:443,1,104.16.145.238:443#US-ecc968
167,104.16.151.55:443,1,104.16.151.55:443#US-7a93c0
168,104.16.158.229:443,1,104.16.158.229:443#US-3ae619
169,104.16.180.22,1,104.16.180.22 #CU [Score:436]
170,104.16.202.242,1,104.16.202.242 #联通-LAX
171,104.16.240.59,1,104.16.240.59 #联通-LAX
172,104.16.244.151,1,104.16.244.151 #CU [Score:465]
173,104.16.244.197,1,104.16.244.197 #移动-HKG
174,104.16.246.210,1,104.16.246.210 #CM [Score:444]
175,104.16.251.114:443,1,104.16.251.114:443#US-a69a81
176,104.16.51.21,1,104.16.51.21 #联通-LAX
177,104.16.65.1,1,104.16.65.1 #多线-查询
178,104.16.65.1:443,1,104.16.65.1:443#US-b57ab0
179,104.16.95.246,1,104.16.95.246 #联通-LAX
180,104.17.100.62:443,1,104.17.100.62:443#US-657d10
181,104.17.114.116,1,104.17.114.116 #移动-HKG
182,104.17.114.127:443,1,104.17.114.127:443#US-4280f0
183,104.17.115.127,1,104.17.115.127 #移动-HKG
184,104.17.115.20:443,1,104.17.115.20:443#US-359283
185,104.17.118.11,1,104.17.118.11 #移动-HKG
186,104.17.121.198:443,1,104.17.121.198:443#US-4d3e31
187,104.17.122.61:443,1,104.17.122.61:443#US-a7ca310
188,104.17.123.44,1,104.17.123.44 #CM [Score:422]
189,104.17.123.44:443,1,104.17.123.44:443#US-0b1c96
190,104.17.127.12:443,1,104.17.127.12:443#US-81bd79
191,104.17.139.37,1,104.17.139.37 #移动-查询
192,104.17.139.37:443,1,104.17.139.37:443#US-75a8a2
193,104.17.142.212,1,104.17.142.212 #多线-查询
194,104.17.142.212:443,1,104.17.142.212:443#US-655545
195,104.17.146.134,1,104.17.146.134 #移动-HKG
196,104.17.146.16,1,104.17.146.16 #移动-HKG
197,104.17.150.127:443,1,104.17.150.127:443#US-8bfcd0
198,104.17.154.188,1,104.17.154.188 #移动-HKG
199,104.17.154.64,1,104.17.154.64 #移动-HKG
200,104.17.154.80,1,104.17.154.80 #移动-HKG
201,104.17.155.137:443,1,104.17.155.137:443#US-eebca1
202,104.17.16.55:443,1,104.17.16.55:443#US-394c310
203,104.17.162.3,1,104.17.162.3 #移动-查询
204,104.17.162.3:443,1,104.17.162.3:443#US-3b12d9
205,104.17.162.46:443,1,104.17.162.46:443#US-d30a31
206,104.17.166.219,1,104.17.166.219 #联通-LAX
207,104.17.167.134,1,104.17.167.134 #多线-查询
208,104.17.167.134:443,1,104.17.167.134:443#US-3c7559
209,104.17.187.186,1,104.17.187.186 #联通-LAX
210,104.17.191.61:443,1,104.17.191.61:443#US-55f0c0
211,104.17.212.0:443,1,104.17.212.0:443#US-dcc176
212,104.17.214.101:443,1,104.17.214.101:443#US-321b110
213,104.17.218.213:443,1,104.17.218.213:443#US-a09cb0
214,104.17.22.154,1,104.17.22.154 #移动-HKG
215,104.17.252.75,1,104.17.252.75 #text-match
216,104.17.50.157:443,1,104.17.50.157:443#US-dd9810
217,104.17.53.148,1,104.17.53.148 #CT [Score:407]
218,104.17.53.148:443,1,104.17.53.148:443#US-1c1e12
219,104.17.58.115:443,1,104.17.58.115:443#US-dd0dc9
220,104.17.61.167,1,104.17.61.167 #电信-LAX
221,104.17.69.244,1,104.17.69.244 #多线-查询
222,104.17.69.244:443,1,104.17.69.244:443#US-560fe2
223,104.17.99.131:443,1,104.17.99.131:443#US-8fe6d9
224,104.18.106.225,1,104.18.106.225 #text-match
225,104.18.121.228,1,104.18.121.228 #text-match
226,104.18.151.172,1,104.18.151.172 #移动-查询
227,104.18.151.172:443,1,104.18.151.172:443#US-4db8b6
228,104.18.166.129,1,104.18.166.129 #移动-查询
229,104.18.166.129:443,1,104.18.166.129:443#US-512a67
230,104.18.189.153,1,104.18.189.153 #多线-查询
231,104.18.189.153:443,1,104.18.189.153:443#US-4c4289
232,104.18.223.253,1,104.18.223.253 #多线-查询
233,104.18.223.253:443,1,104.18.223.253:443#US-7a3d12
234,104.18.253.108:443,1,104.18.253.108:443#US-8af9a8
235,104.18.255.167,1,104.18.255.167 #多线-查询
236,104.18.255.167:443,1,104.18.255.167:443#US-181c06
237,104.18.40.152:443,1,104.18.40.152:443#US-432746
238,104.18.42.163:443,1,104.18.42.163:443#US-6bb111
239,104.18.81.19,1,104.18.81.19 #移动-查询
240,104.18.81.19:443,1,104.18.81.19:443#US-4c5874
241,104.18.89.52,1,104.18.89.52 #移动-查询
242,104.18.89.52:443,1,104.18.89.52:443#US-e32a51
243,104.19.138.81,1,104.19.138.81 #联通-LAX
244,104.19.148.121,1,104.19.148.121 #移动-查询
245,104.19.148.121:443,1,104.19.148.121:443#US-0e2987
246,104.19.149.159,1,104.19.149.159 #联通-LAX
247,104.19.154.200,1,104.19.154.200 #移动-查询
248,104.19.154.200:443,1,104.19.154.200:443#US-81dfc8
249,104.19.212.207,1,104.19.212.207 #多线-查询
250,104.19.212.207:443,1,104.19.212.207:443#US-70c3210
251,104.19.220.22,1,104.19.220.22 #移动-查询
252,104.19.220.22:443,1,104.19.220.22:443#US-044948
253,104.19.34.170,1,104.19.34.170 #CM [Score:476]
254,104.19.34.170:443,1,104.19.34.170:443#US-8c18a3
255,104.19.35.229:443,1,104.19.35.229:443#US-b835610
256,104.19.37.1,1,104.19.37.1 #CU [Score:443]
257,104.19.43.229,1,104.19.43.229 #CM [Score:452]
258,104.19.44.71,1,104.19.44.71 #CM [Score:415]
259,104.19.44.71:443,1,104.19.44.71:443#US-95f4f10
260,104.19.46.175:443,1,104.19.46.175:443#US-22df26
261,104.19.54.144:443,1,104.19.54.144:443#US-be89e2
262,104.19.54.82,1,104.19.54.82 #text-match
263,104.194.143.92:443,1,104.194.143.92:443#GB [11M]
264,104.194.144.105:443,1,104.194.144.105:443#GB [11M]
265,104.20.49.21,1,104.20.49.21 #CU [Score:501]
266,104.21.224.150,1,104.21.224.150 # US-SJC
267,104.21.69.74,1,104.21.69.74 #联通-LAX
268,104.21.81.72:443,1,104.21.81.72:443#US-305227
269,104.239.87.51:443,1,104.239.87.51:443#TR [6M]
270,104.24.173.180,1,104.24.173.180 # US-SJC
271,104.26.3.162,1,104.26.3.162 #联通-查询
272,104.26.3.162:443,1,104.26.3.162:443#US-ea6d31
273,104.26.4.90,1,104.26.4.90 #联通-查询
274,104.26.4.90:443,1,104.26.4.90:443#US-96acc1
275,104.26.5.134,1,104.26.5.134 #联通-查询
276,104.26.5.134:443,1,104.26.5.134:443#US-5891f10
277,104.26.8.117,1,104.26.8.117 #联通-查询
278,104.26.8.117:443,1,104.26.8.117:443#US-b1df51
279,104.31.16.158,1,104.31.16.158 #多线-查询
280,104.31.16.158:443,1,104.31.16.158:443#US-6ebbc9
281,104.64.59.22:443,1,104.64.59.22:443#BR [0M]
282,104.64.59.9:443,1,104.64.59.9:443#BR [0M]
283,107.173.156.153:443,1,107.173.156.153:443#US [9M]
284,108.162.196.189,1,108.162.196.189 # UNK-UNK
285,109.206.241.16:443,1,109.206.241.16:443#EE [3M]
286,109.248.18.226:443,1,109.248.18.226:443#KZ [0M]
287,109.66.88.158:443,1,109.66.88.158:443#CN [0M]
288,114.129.9.132:8443,1,114.129.9.132:8443#EE [5M]
289,114.132.48.24:2053,1,114.132.48.24:2053#HK [0M]
290,114.23.136.104:443,1,114.23.136.104:443#NZ [3M]
291,116.212.73.46:443,1,116.212.73.46:443#ID [0M]
292,116.62.138.224:443,1,116.62.138.224:443#JP [0M]
293,119.28.162.39:8443,1,119.28.162.39:8443#KR [高速 by Jz 29M]
294,122.10.119.252:443,1,122.10.119.252:443#HK [0M]
295,123.111.169.70:443,1,123.111.169.70:443#KR [6M]
296,129.151.124.127:443,1,129.151.124.127:443#CL [4M]
297,129.154.50.72:8443,1,129.154.50.72:8443#KR [高速 by Jz 14M]
298,129.204.159.155:2053,1,129.204.159.155:2053#HK [0M]
299,13.140.10.28:2087,1,13.140.10.28:2087#SE [0M]
300,13.140.29.170:443,1,13.140.29.170:443#BG [6M]
301,13.140.29.253:443,1,13.140.29.253:443#BG [7M]
302,13.140.29.45:443,1,13.140.29.45:443#BG [8M]
303,13.200.106.232:443,1,13.200.106.232:443#IN [0M]
304,13.250.131.37:443,1,13.250.131.37:443#SG [4M]
305,130.12.171.173:443,1,130.12.171.173:443#LT [9M]
306,130.49.163.54:2053,1,130.49.163.54:2053#RS [7M]
307,130.49.163.54:8443,1,130.49.163.54:8443#RS [7M]
308,130.94.0.228:443,1,130.94.0.228:443#TR [0M]
309,130.94.1.177:443,1,130.94.1.177:443#TR [5M]
310,130.94.1.95:443,1,130.94.1.95:443#TR [3M]
311,130.94.116.44:443,1,130.94.116.44:443#EC [0M]
312,130.94.36.232:443,1,130.94.36.232:443#TW [0M]
313,130.94.58.215:443,1,130.94.58.215:443#SA [5M]
314,130.94.81.80:443,1,130.94.81.80:443#OM [0M]
315,131.196.252.97:443,1,131.196.252.97:443#MX [0M]
