排名,数据主体内容,出现次数,完整数据
1,102.130.48.155:2053,2,102.130.48.155:2053#NG [0M]
2,103.15.91.174:443,2,103.15.91.174:443#VN [0M]
3,103.224.84.70:443,2,103.224.84.70:443#TH [0M]
4,104.17.21.106,2,104.17.21.106 #CM [Score:317]
5,104.21.83.204,2,104.21.83.204 #移动-HKG
6,104.25.250.116,2,104.25.250.116 #移动-HKG
7,109.66.88.118:8443,2,109.66.88.118:8443#CN [0M]
8,114.32.9.249:443,2,114.32.9.249:443#TW [3M]
9,120.26.92.186:8443,2,120.26.92.186:8443#CN [3M]
10,130.94.58.215:8443,2,130.94.58.215:8443#SA [3M]
11,131.255.6.88:443,2,131.255.6.88:443#AR [0M]
12,138.16.178.169:443,2,138.16.178.169:443#IS [0M]
13,139.84.244.9:443,2,139.84.244.9:443#ZA [0M]
14,139.99.134.170:443,2,139.99.134.170:443#AU [0M]
15,139.99.155.180:443,2,139.99.155.180:443#AU [0M]
16,141.105.130.102:443,2,141.105.130.102:443#UA [3M]
17,141.227.129.211:2053,2,141.227.129.211:2053#ES [0M]
18,141.227.137.177:2053,2,141.227.137.177:2053#BE [0M]
19,141.227.186.38:2053,2,141.227.186.38:2053#BE [0M]
20,146.235.59.153:8443,2,146.235.59.153:8443#BR [0M]
21,147.139.189.225:443,2,147.139.189.225:443#ID [0M]
22,147.78.0.186:8443,2,147.78.0.186:8443#AE [0M]
23,151.241.215.143:8443,2,151.241.215.143:8443#IT [8M]
24,156.38.157.171:2053,2,156.38.157.171:2053#ZA [0M]
25,156.38.157.171:8443,2,156.38.157.171:8443#ZA [0M]
26,157.22.128.7:443,2,157.22.128.7:443#UZ [4M]
27,157.85.105.126:443,2,157.85.105.126:443#TH [5M]
28,168.107.0.210:443,2,168.107.0.210:443#KR [高速 by Jz 14M]
29,170.64.232.210:443,2,170.64.232.210:443#AU [0M]
30,170.64.237.192:443,2,170.64.237.192:443#AU [0M]
31,172.64.147.110,2,172.64.147.110 #CT [Score:191]
32,172.64.152.94,2,172.64.152.94 #CT [Score:224]
33,172.98.207.58:443,2,172.98.207.58:443#CA [0M]
34,173.242.63.235:8443,2,173.242.63.235:8443#UA [5M]
35,185.105.108.92:8443,2,185.105.108.92:8443#RS [6M]
36,185.125.171.128:8443,2,185.125.171.128:8443#NO [0M]
37,185.179.82.201:443,2,185.179.82.201:443#BY [0M]
38,185.179.82.246:443,2,185.179.82.246:443#BY [0M]
39,185.203.116.131:443,2,185.203.116.131:443#BG [0M]
40,185.216.68.218:8443,2,185.216.68.218:8443#MD [5M]
41,185.235.138.60:2053,2,185.235.138.60:2053#BE [6M]
42,185.253.75.119:443,2,185.253.75.119:443#IL [4M]
43,185.48.250.138:2096,2,185.48.250.138:2096#RS [0M]
44,185.48.250.138:443,2,185.48.250.138:443#RS [0M]
45,185.48.251.100:443,2,185.48.251.100:443#RS [3M]
46,185.86.77.181:8443,2,185.86.77.181:8443#UA [7M]
47,188.240.213.98:2053,2,188.240.213.98:2053#KG [0M]
48,188.240.213.98:8443,2,188.240.213.98:8443#KG [0M]
49,192.71.249.186:2053,2,192.71.249.186:2053#BE [6M]
50,192.71.27.237:443,2,192.71.27.237:443#IL [3M]
51,193.142.58.147:2087,2,193.142.58.147:2087#RO [6M]
52,193.169.228.116:443,2,193.169.228.116:443#IL [3M]
53,193.181.211.119:8443,2,193.181.211.119:8443#DK [6M]
54,194.180.191.123:443,2,194.180.191.123:443#MD [0M]
55,194.247.182.120:8443,2,194.247.182.120:8443#IS [4M]
56,194.32.107.150:443,2,194.32.107.150:443#NO [0M]
57,194.55.164.118:443,2,194.55.164.118:443#CY [3M]
58,194.55.164.154:8443,2,194.55.164.154:8443#CY [0M]
59,194.55.166.65:2087,2,194.55.166.65:2087#CY [5M]
60,194.55.166.65:443,2,194.55.166.65:443#CY [4M]
61,194.71.227.213:443,2,194.71.227.213:443#BE [0M]
62,195.133.18.146:443,2,195.133.18.146:443#RS [4M]
63,195.133.53.166:8443,2,195.133.53.166:8443#RU [0M]
64,195.133.92.20:443,2,195.133.92.20:443#PT [0M]
65,195.162.68.79:443,2,195.162.68.79:443#IS [4M]
66,196.197.21.2:8443,2,196.197.21.2:8443#IE [8M]
67,2.56.206.113:443,2,2.56.206.113:443#AM [5M]
68,2.56.207.67:443,2,2.56.207.67:443#AM [8M]
69,20.174.15.226:443,2,20.174.15.226:443#AE [3M]
70,20.219.46.208:8443,2,20.219.46.208:8443#IN [0M]
71,20.235.105.146:443,2,20.235.105.146:443#IN [3M]
72,202.155.95.132:443,2,202.155.95.132:443#ID [4M]
73,202.184.53.82:8443,2,202.184.53.82:8443#MY [0M]
74,206.53.48.205:443,2,206.53.48.205:443#GE [5M]
75,209.38.82.114:443,2,209.38.82.114:443#AU [0M]
76,212.60.4.134:443,2,212.60.4.134:443#BY [3M]
77,213.183.55.153:8443,2,213.183.55.153:8443#LT [0M]
78,213.255.209.61:8443,2,213.255.209.61:8443#CA [0M]
79,216.173.67.119:443,2,216.173.67.119:443#MY [3M]
80,216.173.67.159:443,2,216.173.67.159:443#MY [5M]
81,216.238.78.167:443,2,216.238.78.167:443#MX [4M]
82,216.238.79.83:8443,2,216.238.79.83:8443#MX [6M]
83,216.238.80.148:8443,2,216.238.80.148:8443#MX [6M]
84,216.238.86.91:443,2,216.238.86.91:443#MX [6M]
85,23.146.248.149:443,2,23.146.248.149:443#TW [0M]
86,24.109.36.190:8443,2,24.109.36.190:8443#CA [0M]
87,3.110.31.232:443,2,3.110.31.232:443#IN [6M]
88,38.180.225.247:2053,2,38.180.225.247:2053#HU [5M]
89,38.180.78.255:443,2,38.180.78.255:443#BR [3M]
90,38.180.79.9:443,2,38.180.79.9:443#BR [4M]
91,38.54.29.210:2053,2,38.54.29.210:2053#GR [0M]
92,38.54.4.209:443,2,38.54.4.209:443#KH [4M]
93,38.54.59.70:443,2,38.54.59.70:443#EG [0M]
94,43.133.110.81:443,2,43.133.110.81:443#TH [0M]
95,43.160.203.174:443,2,43.160.203.174:443#SG [高速 by Jz 13M]
96,43.173.1.153:8443,2,43.173.1.153:8443#ID [0M]
97,43.174.192.1:443,2,43.174.192.1:443#BR [6M]
98,43.174.193.1:443,2,43.174.193.1:443#ID [8M]
99,43.174.195.1:443,2,43.174.195.1:443#AR [4M]
100,45.11.181.161:443,2,45.11.181.161:443#RO [0M]
101,45.136.199.148:443,2,45.136.199.148:443#RO [7M]
102,45.150.131.246:443,2,45.150.131.246:443#TH [0M]
103,45.202.247.198:443,2,45.202.247.198:443#MO [7M]
104,45.202.247.198:8443,2,45.202.247.198:8443#MO [6M]
105,5.181.2.41:443,2,5.181.2.41:443#HR [0M]
106,5.181.2.41:8443,2,5.181.2.41:8443#HR [0M]
107,5.35.103.185:8443,2,5.35.103.185:8443#SK [0M]
108,54.194.24.172:443,2,54.194.24.172:443#IE [4M]
109,54.229.164.147:2053,2,54.229.164.147:2053#IE [0M]
110,54.229.164.147:8443,2,54.229.164.147:8443#IE [0M]
111,57.131.32.25:2053,2,57.131.32.25:2053#IT [0M]
112,62.182.193.108:2087,2,62.182.193.108:2087#SE [7M]
113,62.182.193.220:443,2,62.182.193.220:443#SE [0M]
114,63.32.194.15:2053,2,63.32.194.15:2053#IE [5M]
115,63.32.194.15:8443,2,63.32.194.15:8443#IE [5M]
116,64.176.10.195:443,2,64.176.10.195:443#CL [3M]
117,64.176.12.48:443,2,64.176.12.48:443#CL [3M]
118,64.176.15.110:2053,2,64.176.15.110:2053#CL [4M]
119,64.176.4.154:8443,2,64.176.4.154:8443#CL [4M]
120,64.176.9.246:443,2,64.176.9.246:443#CL [4M]
121,65.2.215.47:443,2,65.2.215.47:443#IN [0M]
122,78.153.131.199:8443,2,78.153.131.199:8443#LT [0M]
123,8.134.218.35:443,2,8.134.218.35:443#DE [8M]
124,80.178.58.56:443,2,80.178.58.56:443#IL [0M]
125,81.29.149.219:2053,2,81.29.149.219:2053#NO [5M]
126,81.29.149.219:8443,2,81.29.149.219:8443#NO [4M]
127,84.208.211.208:8443,2,84.208.211.208:8443#NO [0M]
128,84.235.245.65:2096,2,84.235.245.65:2096#AE [4M]
129,85.90.196.11:443,2,85.90.196.11:443#RO [0M]
130,89.127.196.117:443,2,89.127.196.117:443#CH [6M]
131,89.185.82.188:443,2,89.185.82.188:443#MK [0M]
132,89.46.42.141:2053,2,89.46.42.141:2053#SK [6M]
133,89.46.42.141:8443,2,89.46.42.141:8443#SK [6M]
134,89.46.42.92:2053,2,89.46.42.92:2053#SK [4M]
135,89.46.42.92:8443,2,89.46.42.92:8443#SK [5M]
136,91.149.167.147:8443,2,91.149.167.147:8443#BY [0M]
137,91.192.102.55:443,2,91.192.102.55:443#CH [3M]
138,91.218.212.223:443,2,91.218.212.223:443#UA [0M]
139,91.229.239.172:443,2,91.229.239.172:443#MD [0M]
140,91.231.182.162:8443,2,91.231.182.162:8443#UA [0M]
141,91.238.105.102:443,2,91.238.105.102:443#UA [5M]
142,91.239.6.40:443,2,91.239.6.40:443#AL [6M]
143,91.239.6.51:8443,2,91.239.6.51:8443#AL [0M]
144,91.242.163.179:2053,2,91.242.163.179:2053#SK [0M]
145,91.242.163.179:8443,2,91.242.163.179:8443#SK [0M]
146,91.250.248.223:443,2,91.250.248.223:443#GR [0M]
147,92.113.146.87:443,2,92.113.146.87:443#DK [4M]
148,94.103.188.145:443,2,94.103.188.145:443#MD [0M]
149,94.131.16.65:443,2,94.131.16.65:443#GR [0M]
150,94.156.189.144:8443,2,94.156.189.144:8443#BG [5M]
151,94.43.238.112:2053,2,94.43.238.112:2053#GE [5M]
152,94.43.238.112:2083,2,94.43.238.112:2083#GE [5M]
153,94.43.238.112:2087,2,94.43.238.112:2087#GE [5M]
154,95.130.84.36:2053,2,95.130.84.36:2053#BY [0M]
155,95.174.68.155:2083,2,95.174.68.155:2083#AE [3M]
156,101.108.49.121:443,1,101.108.49.121:443#TH [4M]
157,103.136.146.73:443,1,103.136.146.73:443#AU [10M]
158,103.167.234.26:443,1,103.167.234.26:443#AL [0M]
159,103.169.206.131:443,1,103.169.206.131:443#ID [0M]
160,103.186.64.182:443,1,103.186.64.182:443#VN [5M]
161,103.197.185.178:443,1,103.197.185.178:443#VN [0M]
162,103.242.133.57:443,1,103.242.133.57:443#US [9M]
163,103.63.30.163:443,1,103.63.30.163:443#CH [8M]
164,103.70.115.106:8443,1,103.70.115.106:8443#VN [5M]
165,104.16.0.89,1,104.16.0.89 #text-match
166,104.16.102.197,1,104.16.102.197 #text-match
167,104.16.105.166,1,104.16.105.166 #多线-查询
168,104.16.105.166:443,1,104.16.105.166:443#US-061a33
169,104.16.105.6,1,104.16.105.6 #text-match
170,104.16.14.50,1,104.16.14.50 # US-SJC
171,104.16.155.7:443,1,104.16.155.7:443#US-2d5901
172,104.16.239.204,1,104.16.239.204 #联通-LAX
173,104.16.240.110,1,104.16.240.110 #联通-LAX
174,104.16.251.226:443,1,104.16.251.226:443#US-c15d99
175,104.16.65.1,1,104.16.65.1 #多线-查询
176,104.16.65.1:443,1,104.16.65.1:443#US-dce7b1
177,104.17.113.88:443,1,104.17.113.88:443#US-b855d8
178,104.17.115.20:443,1,104.17.115.20:443#US-080813
179,104.17.119.143,1,104.17.119.143 #联通-LAX
180,104.17.126.160,1,104.17.126.160 #CU [Score:392]
181,104.17.139.37,1,104.17.139.37 #移动-查询
182,104.17.139.37:443,1,104.17.139.37:443#US-093616
183,104.17.142.212,1,104.17.142.212 #多线-查询
184,104.17.142.212:443,1,104.17.142.212:443#US-8b4300
185,104.17.147.20:443,1,104.17.147.20:443#US-113a22
186,104.17.153.130,1,104.17.153.130 #联通-SJC
187,104.17.162.3,1,104.17.162.3 #移动-查询
188,104.17.162.3:443,1,104.17.162.3:443#US-827bf9
189,104.17.167.134,1,104.17.167.134 #多线-查询
190,104.17.167.134:443,1,104.17.167.134:443#US-cad8e7
191,104.17.21.106:443,1,104.17.21.106:443#US-5cf2d1
192,104.17.216.159,1,104.17.216.159 #CM [Score:365]
193,104.17.22.188:443,1,104.17.22.188:443#US-256843
194,104.17.22.252:443,1,104.17.22.252:443#US-bb4d27
195,104.17.220.64:443,1,104.17.220.64:443#US-b45109
196,104.17.221.209:443,1,104.17.221.209:443#US-7fa557
197,104.17.224.22,1,104.17.224.22 #联通-SEA
198,104.17.225.62:443,1,104.17.225.62:443#US-49c733
199,104.17.233.101:443,1,104.17.233.101:443#US-c74aa8
200,104.17.248.237,1,104.17.248.237 #联通-SEA
201,104.17.248.98,1,104.17.248.98 #联通-SEA
202,104.17.26.156:443,1,104.17.26.156:443#US-819a47
203,104.17.45.105,1,104.17.45.105 #联通-LAX
204,104.17.53.148:443,1,104.17.53.148:443#US-8f4533
205,104.17.57.32:443,1,104.17.57.32:443#US-f5de67
206,104.17.61.189:443,1,104.17.61.189:443#US-47c4e6
207,104.17.62.136:443,1,104.17.62.136:443#US-b6aff8
208,104.17.69.244,1,104.17.69.244 #多线-查询
209,104.17.69.244:443,1,104.17.69.244:443#US-3e79b4
210,104.17.8.8,1,104.17.8.8 #CM [Score:345]
211,104.18.120.215,1,104.18.120.215 #联通-LAX
212,104.18.151.172,1,104.18.151.172 #移动-查询
213,104.18.151.172:443,1,104.18.151.172:443#US-e40326
214,104.18.166.129,1,104.18.166.129 #移动-查询
215,104.18.166.129:443,1,104.18.166.129:443#US-36ccf2
216,104.18.189.153,1,104.18.189.153 #多线-查询
217,104.18.189.153:443,1,104.18.189.153:443#US-39e857
218,104.18.217.211,1,104.18.217.211 #CU [Score:359]
219,104.18.217.211:443,1,104.18.217.211:443#US-cbd293
220,104.18.223.253,1,104.18.223.253 #多线-查询
221,104.18.223.253:443,1,104.18.223.253:443#US-cde2c1
222,104.18.230.69,1,104.18.230.69 #CT [Score:344]
223,104.18.230.69:443,1,104.18.230.69:443#US-977943
224,104.18.255.167,1,104.18.255.167 #多线-查询
225,104.18.255.167:443,1,104.18.255.167:443#US-338f80
226,104.18.40.189,1,104.18.40.189 #CM [Score:179]
227,104.18.40.77:443,1,104.18.40.77:443#US-75f3c2
228,104.18.41.203:443,1,104.18.41.203:443#US-dd5900
229,104.18.42.163:443,1,104.18.42.163:443#US-829c68
230,104.18.42.54:443,1,104.18.42.54:443#US-9da4e3
231,104.18.45.248:443,1,104.18.45.248:443#US-63b8c2
232,104.18.7.162,1,104.18.7.162 #text-match
233,104.18.81.19,1,104.18.81.19 #移动-查询
234,104.18.81.19:443,1,104.18.81.19:443#US-6fe059
235,104.18.89.52,1,104.18.89.52 #移动-查询
236,104.18.89.52:443,1,104.18.89.52:443#US-4bae44
237,104.19.148.121,1,104.19.148.121 #移动-查询
238,104.19.148.121:443,1,104.19.148.121:443#US-42e004
239,104.19.154.200,1,104.19.154.200 #移动-查询
240,104.19.154.200:443,1,104.19.154.200:443#US-96e344
241,104.19.156.9:443,1,104.19.156.9:443#US-349231
242,104.19.158.73:443,1,104.19.158.73:443#US-ce1d66
243,104.19.203.84,1,104.19.203.84 #text-match
244,104.19.212.207,1,104.19.212.207 #多线-查询
245,104.19.212.207:443,1,104.19.212.207:443#US-da9c95
246,104.19.220.22,1,104.19.220.22 #移动-查询
247,104.19.220.22:443,1,104.19.220.22:443#US-0385a9
248,104.19.45.19,1,104.19.45.19 #CU [Score:347]
249,104.19.45.19:443,1,104.19.45.19:443#US-5fb6a6
250,104.19.49.198:443,1,104.19.49.198:443#US-135b70
251,104.19.57.155,1,104.19.57.155 # US-SJC
252,104.194.143.92:443,1,104.194.143.92:443#GB [11M]
253,104.194.144.105:443,1,104.194.144.105:443#GB [11M]
254,104.20.48.157:443,1,104.20.48.157:443#US-844254
255,104.20.63.158:443,1,104.20.63.158:443#US-670b99
256,104.21.81.91:443,1,104.21.81.91:443#US-b2a341
257,104.21.83.131,1,104.21.83.131 #电信-AMS
258,104.21.83.177,1,104.21.83.177 #移动-HKG
259,104.21.83.70,1,104.21.83.70 #移动-HKG
260,104.21.88.140,1,104.21.88.140 #移动-HKG
261,104.21.88.8,1,104.21.88.8 #移动-HKG
262,104.21.90.38,1,104.21.90.38 #移动-HKG
263,104.21.90.4,1,104.21.90.4 #电信-AMS
264,104.21.90.73,1,104.21.90.73 #移动-HKG
265,104.239.87.51:443,1,104.239.87.51:443#TR [6M]
266,104.24.171.248,1,104.24.171.248 # US-SJC
267,104.25.242.144:443,1,104.25.242.144:443#US-ecec17
268,104.25.247.144,1,104.25.247.144 #移动-HKG
269,104.25.249.236,1,104.25.249.236 #电信-FRA
270,104.25.250.181,1,104.25.250.181 #电信-FRA
271,104.25.250.243,1,104.25.250.243 #移动-HKG
272,104.25.250.244,1,104.25.250.244 #电信-FRA
273,104.25.252.85,1,104.25.252.85 #电信-FRA
274,104.26.3.162,1,104.26.3.162 #联通-查询
275,104.26.3.162:443,1,104.26.3.162:443#US-0d09e7
276,104.26.4.90,1,104.26.4.90 #联通-查询
277,104.26.4.90:443,1,104.26.4.90:443#US-d5c7510
278,104.26.5.134,1,104.26.5.134 #联通-查询
279,104.26.5.134:443,1,104.26.5.134:443#US-50dac4
280,104.26.8.117,1,104.26.8.117 #联通-查询
281,104.26.8.117:443,1,104.26.8.117:443#US-4349e8
282,104.31.16.158,1,104.31.16.158 #多线-查询
283,104.31.16.158:443,1,104.31.16.158:443#US-036e16
284,104.64.59.22:443,1,104.64.59.22:443#BR [0M]
285,104.64.59.9:443,1,104.64.59.9:443#BR [0M]
286,107.173.156.153:443,1,107.173.156.153:443#US [9M]
287,108.162.195.61,1,108.162.195.61 # UNK-UNK
288,109.206.241.16:443,1,109.206.241.16:443#EE [3M]
289,109.248.18.226:443,1,109.248.18.226:443#KZ [0M]
290,109.66.88.158:443,1,109.66.88.158:443#CN [0M]
291,114.129.9.132:8443,1,114.129.9.132:8443#EE [5M]
292,114.132.48.24:2053,1,114.132.48.24:2053#HK [0M]
293,114.23.136.104:443,1,114.23.136.104:443#NZ [3M]
294,116.212.73.46:443,1,116.212.73.46:443#ID [0M]
295,116.62.138.224:443,1,116.62.138.224:443#JP [0M]
296,119.28.162.39:8443,1,119.28.162.39:8443#KR [高速 by Jz 29M]
297,122.10.119.252:443,1,122.10.119.252:443#HK [0M]
298,123.111.169.70:443,1,123.111.169.70:443#KR [6M]
299,129.151.124.127:443,1,129.151.124.127:443#CL [4M]
300,129.154.50.72:8443,1,129.154.50.72:8443#KR [高速 by Jz 14M]
301,129.204.159.155:2053,1,129.204.159.155:2053#HK [0M]
302,13.140.10.28:2087,1,13.140.10.28:2087#SE [0M]
303,13.140.29.170:443,1,13.140.29.170:443#BG [6M]
304,13.140.29.253:443,1,13.140.29.253:443#BG [7M]
305,13.140.29.45:443,1,13.140.29.45:443#BG [8M]
306,13.200.106.232:443,1,13.200.106.232:443#IN [0M]
307,13.250.131.37:443,1,13.250.131.37:443#SG [4M]
308,130.12.171.173:443,1,130.12.171.173:443#LT [9M]
309,130.49.163.54:2053,1,130.49.163.54:2053#RS [7M]
310,130.49.163.54:8443,1,130.49.163.54:8443#RS [7M]
311,130.94.0.228:443,1,130.94.0.228:443#TR [0M]
312,130.94.1.177:443,1,130.94.1.177:443#TR [5M]
313,130.94.1.95:443,1,130.94.1.95:443#TR [3M]
314,130.94.116.44:443,1,130.94.116.44:443#EC [0M]
315,130.94.36.232:443,1,130.94.36.232:443#TW [0M]
316,130.94.58.215:443,1,130.94.58.215:443#SA [5M]
